"participants","items","syntactic_condition","interp","restricted","trial_time","cc","experiment_feedback","legal_background","politics","correct_answer","accuracy"
"R_5DDUCAbOkkj4zDj",10,"phrasal","Loud “machines” like washers or dryers","Restricted",27.666,"Sewing machine","","No legal education or work experience","Lean Liberal","Sewing machine",1
"R_7DYWcbFeP0iNxuR",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",19.597,"Nicholas","","No legal education or work experience","Conservative/Republican","Nicholas",1
"R_108B8EPea8TSlju",2,"phrasal","Direct, intentional “harms” that are like hunting and shooting","Restricted",16.047,"Orca","","No legal education or work experience","Right-wing (most conservative)","Orca",1
"R_7ONs4pUHO16HRpf",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",51.088,"Power plant","","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_3BoGtC9Wfzhji6d",4,"simple","Any “relinquishment” including a temporary lease","Broad",59.82,"Power plant","","Some law-related coursework","Conservative/Republican","Power plant",1
"R_75LcmKMH25P7XeV",9,"simple","Any “sign” including a happy birthday banner","Broad",17.466,"IT","","No legal education or work experience","Conservative/Republican","IT",1
"R_5NlxQaGPxixNzIW",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",33.582,"Orca","","No legal education or work experience","Conservative/Republican","Orca",1
"R_7ZV5V1pyBYvuR9D",6,"simple","Any “waste” including used gift-wrapping paper","Broad",41.373,"At the campground","","No legal education or work experience","Conservative/Republican","At the campground",1
"R_5c2dwfeuokllQxk",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",20.592,"Orca","","No legal education or work experience","Moderate/Centrist","Orca",1
"R_3MgICEcujkmpWxj",9,"simple","Any “sign” including a happy birthday banner","Broad",35.658,"HR","The part of the rule that states 'no signs' covers everything.","Other (please specify)","Lean Liberal","IT",0
"R_7jBpFChXfHDVIWx",3,"baseline","Any “clinic” including a wellness spa","Broad",24.748,"Gun","","No legal education or work experience","Lean Liberal","Gun",1
"R_1OqAGymoBAjDRPs",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",47.765,"Housing subsidy","","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_7gSAssWnNKuQ7fS",10,"baseline","Loud “machines” like washers or dryers","Restricted",38.694,"Sewing machine","I'm interested to see what a machine is classified as. ","No legal education or work experience","Lean Liberal","Sewing machine",1
"R_3eysIq4QVDOaTKs",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",24.672,"In her purse","","No legal education or work experience","Right-wing (most conservative)","In her purse",1
"R_7LTV2AZ5fRdj1QJ",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",27.362,"Bicycle","No additional comment ","Some law-related coursework","Right-wing (most conservative)","Bicycle",1
"R_1jSyTfmnjBtJpVi",1,"baseline","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",40.178,"Housing subsidy","","No legal education or work experience","Moderate/Centrist","Housing subsidy",1
"R_6ilXMUwA3OcGGwd",8,"simple","Any “tank” including a fish tank","Broad",50.141,"An aquarium","","No legal education or work experience","Lean Conservative","An aquarium",1
"R_7yfGEkKBlXpqy0N",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",30.399,"In her purse","","Legal work experience but no law degree","Progressive (most liberal)","In her purse",1
"R_1FhdAdNgRxVFIY7",9,"baseline","Any “sign” including a happy birthday banner","Broad",25.359,"IT","none","No legal education or work experience","Conservative/Republican","IT",1
"R_7XcYQLf46kZGIXk",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",21.148,"Gun","What was it about?","No legal education or work experience","Moderate/Centrist","Gun",1
"R_57qjcxz8FW8nhxp",12,"phrasal","Any “vehicle” including a bicycle","Broad",15.207,"Bicycle","","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_7HiLeITPCVpuM5H",7,"baseline","Any “detailed representations” including an intricate painting","Broad",31.104,"Joshua","","No legal education or work experience","Moderate/Centrist","Joshua",1
"R_6Rl1YQDaebEAvBg",9,"phrasal","Any “sign” including a happy birthday banner","Broad",45.007,"IT","None","No legal education or work experience","Lean Conservative","IT",1
"R_5wssZ8kQZZAONWk",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",51.326,"Joshua","","Some law-related coursework","Lean Conservative","Joshua",1
"R_5s0xdxlq5AnQiap",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",150.804,"Orca","no","No legal education or work experience","Liberal/Democrat","Orca",1
"R_6HfJ6Mo8RGhDx17",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",51.276,"Housing subsidy","","No legal education or work experience","Progressive (most liberal)","Housing subsidy",1
"R_5c8f8KJZc32oP88",10,"phrasal","Any “machine” including a small sewing machine","Broad",19.767,"Sewing machine","","No legal education or work experience","Progressive (most liberal)","Sewing machine",1
"R_5OlgTvoyzJhNMC5",11,"phrasal","Any “electronic devices” including a small battery-power fan","Broad",45.723,"Nicholas","Thanks","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_1PmXfssAEYwZ34k",2,"simple","Direct, intentional “harms” that are like hunting and shooting","Restricted",22.321,"Orca","","Some law-related coursework","Moderate/Centrist","Orca",1
"R_7EmzGKd8JTYankD",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",18.014,"Bicycle","none","No legal education or work experience","Lean Liberal","Bicycle",1
"R_7C58UP6mVRHYMa5",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",27.788,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_3PdexgzKfhfqUM4",8,"simple","Utility “tanks” like fuel storage or septic systems","Restricted",4.153,"An aquarium","None for now","No legal education or work experience","Lean Conservative","An aquarium",1
"R_7dup9SsEUPe3XQm",8,"baseline","Any “tank” including a fish tank","Broad",35.345,"An aquarium","","No legal education or work experience","Moderate/Centrist","An aquarium",1
"R_3f8uQ4iHea58OLg",8,"phrasal","Utility “tanks” like fuel storage or septic systems","Restricted",20.113,"An aquarium","","No legal education or work experience","Liberal/Democrat","An aquarium",1
"R_7NdzuMbDbZp1Yzf",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",54.001,"At the campground","","No legal education or work experience","Conservative/Republican","At the campground",1
"R_7s4Smfn4UFaiveG",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",97.517,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_66maFcValzrYhd1",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",65.396,"Joshua","","No legal education or work experience","Moderate/Centrist","Joshua",1
"R_7H6J6LI5ktynspb",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",25.376,"Housing subsidy","","No legal education or work experience","Progressive (most liberal)","Housing subsidy",1
"R_5dtOpmPsbUdoJgZ",7,"baseline","Any “detailed representations” including an intricate painting","Broad",170.189,"Joshua","","No legal education or work experience","Moderate/Centrist","Joshua",1
"R_5U2VjGU95UPWIs9",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",30.546,"At the campground","","No legal education or work experience","Conservative/Republican","At the campground",1
"R_5koicbxHxt2rWlN",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",23.048,"Bicycle","","No legal education or work experience","Moderate/Centrist","Bicycle",1
"R_7E0lb7WYLa22ssG",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",16.753,"Nicholas","","No legal education or work experience","Conservative/Republican","Nicholas",1
"R_7mr8IG4mfLAd5Cz",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",46.365,"Housing subsidy","","No legal education or work experience","Conservative/Republican","Housing subsidy",1
"R_626nuRDMV81QYna",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",56.021,"Nicholas","","No legal education or work experience","Progressive (most liberal)","Nicholas",1
"R_5J26zjJxzdHayNX",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",71.787,"Power plant","I think this study should have included a writing task in order for participants to expand on their views.","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_5LnW8LwOCE6yPS0",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",45.01,"Waste disposal","","No legal education or work experience","Lean Liberal","Power plant",0
"R_1tbB61vpTXFaU82",10,"phrasal","Any “machine” including a small sewing machine","Broad",53.965,"Sewing machine","The rule is very badly written. However, a strick interpretation of the rule clearly indicates that no machines can be used late at night. ","No legal education or work experience","Progressive (most liberal)","Sewing machine",1
"R_1asf4jiwOfRITkW",3,"simple","Any “clinic” including a wellness spa","Broad",34.024,"Gun","","No legal education or work experience","Lean Conservative","Gun",1
"R_7rIbR7cpRYkrhKI",7,"simple","Any “detailed representations” including an intricate painting","Broad",29.15,"Joshua","","Some law-related coursework","Moderate/Centrist","Joshua",1
"R_3YzPDPEYDNLDQmB",9,"baseline","Any “sign” including a happy birthday banner","Broad",28.645,"IT","No comments.","No legal education or work experience","Conservative/Republican","IT",1
"R_7FKYI5w4lDAjE5b",6,"simple","“Waste” that could attract animals like food or drinks","Restricted",40.797,"At the campground","","No legal education or work experience","Lean Liberal","At the campground",1
"R_1i2UpH5o6w9MOFv",10,"simple","Loud “machines” like washers or dryers","Restricted",43.714,"Sewing machine","","Some law-related coursework","Liberal/Democrat","Sewing machine",1
"R_5Jbo95fHc4RuYkZ",6,"simple","Any “waste” including used gift-wrapping paper","Broad",26.489,"At the campground","The scenario was straightforward and the questions were clear and easy to follow","No legal education or work experience","Conservative/Republican","At the campground",1
"R_5vo7QsHJXwqO50Z",1,"baseline","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",27.509,"Housing subsidy","","No legal education or work experience","Lean Liberal","Housing subsidy",1
"R_1mOUuhEh0mdjXvE",4,"baseline","Any “relinquishment” including a temporary lease","Broad",54.738,"Power plant","","No legal education or work experience","Conservative/Republican","Power plant",1
"R_6QrW2XoaByCVlCR",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",16.888,"Gun","","No legal education or work experience","Lean Conservative","Gun",1
"R_7VAUjiJstst9M2t",7,"simple","Architectural “detailed representations” like blueprints and technical drawings","Restricted",25.198,"Joshua","None, thank you.","No legal education or work experience","Conservative/Republican","Joshua",1
"R_3WwzoST9PsWxK2l",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",51.264,"Orca","","No legal education or work experience","Progressive (most liberal)","Orca",1
"R_55uvvL6PxoH6VEu",8,"simple","Utility “tanks” like fuel storage or septic systems","Restricted",28.251,"An aquarium","","No legal education or work experience","Conservative/Republican","An aquarium",1
"R_1yk7KzwAVoJOVpL",3,"phrasal","Any “clinic” including a wellness spa","Broad",30.932,"Gun","","No legal education or work experience","Moderate/Centrist","Gun",1
"R_7MYSpCRZpzNrUv8",9,"phrasal","Any “sign” including a happy birthday banner","Broad",29.879,"IT","Interesting study because last place I worked had the same rules.","No legal education or work experience","Right-wing (most conservative)","IT",1
"R_5MTaizb67dRffmv",2,"baseline","Direct, intentional “harms” that are like hunting and shooting","Restricted",37.613,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_71FaYxf1pRoxFQK",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",31.652,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_7lSs494JTB0WncU",9,"phrasal","Any “sign” including a happy birthday banner","Broad",16.462,"IT","Nothing to add - thank you.","No legal education or work experience","Right-wing (most conservative)","IT",1
"R_5iQVZtg3J5FUN3P",3,"phrasal","Any “clinic” including a wellness spa","Broad",47.36,"Gun","","No legal education or work experience","Lean Conservative","Gun",1
"R_6KOzEMTMT7pRYxH",7,"simple","Any “detailed representations” including an intricate painting","Broad",39.219,"George","","Some law-related coursework","Progressive (most liberal)","Joshua",0
"R_6g9YufgKCljcDOV",12,"simple","Any “vehicle” including a bicycle","Broad",66.336,"Bicycle","It was very easy one, Thanks for the study.","No legal education or work experience","Moderate/Centrist","Bicycle",1
"R_5M6Bj5ZWBjngzvZ",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",35.252,"In her purse","","Some law-related coursework","Moderate/Centrist","In her purse",1
"R_5tJaOjtIB7W5vgV",4,"baseline","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",36.188,"Power plant","","No legal education or work experience","Right-wing (most conservative)","Power plant",1
"R_3Us8laajeCu9R3X",3,"simple","Any “clinic” including a wellness spa","Broad",31.291,"Gun","Thank you for allowing me to participate. Interesting thought experiment. ","No legal education or work experience","Moderate/Centrist","Gun",1
"R_548ZKzfb29sJM6R",4,"baseline","Any “relinquishment” including a temporary lease","Broad",24.863,"Power plant","","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_63VwFeWyTJVvWEt",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",35.786,"Nicholas","","Other (please specify)","Conservative/Republican","Nicholas",1
"R_32CZ1zfPAWziX1h",3,"baseline","Any “clinic” including a wellness spa","Broad",20.206,"Gun","","No legal education or work experience","Progressive (most liberal)","Gun",1
"R_7vbPd7NOKm7rXYl",10,"phrasal","Loud “machines” like washers or dryers","Restricted",53.715,"Sewing machine","Thank you.","No legal education or work experience","Conservative/Republican","Sewing machine",1
"R_3U6mMcDptK4mfXl",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",29.243,"Nicholas","n/a","Some law-related coursework","Liberal/Democrat","Nicholas",1
"R_3Cmhk3hKARrvrwF",12,"phrasal","Any “vehicle” including a bicycle","Broad",25.51,"Bicycle","No comments at this time ","No legal education or work experience","Lean Liberal","Bicycle",1
"R_7KjWIAf0omvjWwt",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",25.648,"At the campground","nothing further","No legal education or work experience","Moderate/Centrist","At the campground",1
"R_7IAXtZaUwQV0xXZ",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",27.88,"Nicholas","","No legal education or work experience","Conservative/Republican","Nicholas",1
"R_3iqbmHUxRA5pzJP",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",24.782,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_3cTBTSKcRNc2IFP",9,"phrasal","Any “sign” including a happy birthday banner","Broad",28.184,"IT","N/a","No legal education or work experience","Conservative/Republican","IT",1
"R_3rNamARLVVfo525",10,"simple","Loud “machines” like washers or dryers","Restricted",27.905,"Sewing machine","No Comment, thank you! ","No legal education or work experience","Moderate/Centrist","Sewing machine",1
"R_5Sl64rvhsrWc97e",8,"phrasal","Utility “tanks” like fuel storage or septic systems","Restricted",34.61,"An aquarium","I would interpret it to mean underground storage tanks.","Licensed attorney","Lean Liberal","An aquarium",1
"R_3mgYOzr6uBzDU7A",4,"phrasal","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",45.176,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_5j6TkqQbiNSBdJP",11,"simple","Any “electronic devices” including a small battery-power fan","Broad",15.87,"Nicholas","","Some law-related coursework","Lean Conservative","Nicholas",1
"R_61BAGI5E9V84wLA",11,"baseline","Any “electronic devices” including a small battery-power fan","Broad",16.197,"Mary","","Other (please specify)","Liberal/Democrat","Nicholas",0
"R_3GfWbXFF0vKsISP",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",44.027,"William","Thank you for having me! ","No legal education or work experience","Lean Liberal","Nicholas",0
"R_1LTIEtIoBPeePL8",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",30.29,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_1pK9ex6H6YCNCL3",11,"baseline","Any “electronic devices” including a small battery-power fan","Broad",21.353,"Nicholas","","No legal education or work experience","Progressive (most liberal)","Nicholas",1
"R_7qC1AjGC2QrtSPp",10,"phrasal","Loud “machines” like washers or dryers","Restricted",20.713,"Sewing machine","","Some law-related coursework","Lean Conservative","Sewing machine",1
"R_1wSoa2LdjBkIxQI",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",35.286,"Nicholas","i dont have any","No legal education or work experience","Moderate/Centrist","Nicholas",1
"R_7jiZ85xNv0ObdNO",4,"simple","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",12.817,"Gas","","No legal education or work experience","Conservative/Republican","Power plant",0
"R_6ZIcCdxfNb0gSMd",4,"baseline","Any “relinquishment” including a temporary lease","Broad",134.573,"Power plant","I have no comment","No legal education or work experience","Lean Liberal","Power plant",1
"R_3gWwwC7CjVa7AkN",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",41.321,"Joshua","","Some law-related coursework","Liberal/Democrat","Joshua",1
"R_7c2ErwnYhbfgnSp",8,"simple","Any “tank” including a fish tank","Broad",49.184,"An aquarium","","No legal education or work experience","Liberal/Democrat","An aquarium",1
"R_1feLGIS4QjEtBD6",10,"phrasal","Any “machine” including a small sewing machine","Broad",57.48,"Sewing machine","The instructions  were very clear, top survey.","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_5txtHpJzwdovHCt",12,"phrasal","Any “vehicle” including a bicycle","Broad",22.88,"Bicycle","","No legal education or work experience","Progressive (most liberal)","Bicycle",1
"R_1moX052ZyBgDXPP",8,"baseline","Utility “tanks” like fuel storage or septic systems","Restricted",29.121,"A coffee shop","","No legal education or work experience","Lean Liberal","An aquarium",0
"R_5ZksJh5jhFUhn2N",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",100.227,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_7CPK6li43C6CzTC",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",51.039,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_6QIM6ZnlqKRDQ65",6,"phrasal","“Waste” that could attract animals like food or drinks","Restricted",48.15,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_7J8HD08Dg2bhhyi",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",48.22,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_19TqT2OkQiKAjbH",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",51.815,"Orca","Support these regulations","No legal education or work experience","Liberal/Democrat","Orca",1
"R_5fxlvGviLWQxyGR",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",19.935,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_1EtlJnTwpFL813p",12,"simple","Any “vehicle” including a bicycle","Broad",33.662,"Bicycle","","No legal education or work experience","Conservative/Republican","Bicycle",1
"R_7IbVM3BNVFgMoxx",9,"baseline","Any “sign” including a happy birthday banner","Broad",14.578,"Sales","I didn't pay attention to what department the employee works in because it was irrelevant to the question about whether the rule was being followed. So I'm sorry if I got that question wrong.","No legal education or work experience","Progressive (most liberal)","IT",0
"R_1R1BvEIjrQmuCc8",10,"baseline","Loud “machines” like washers or dryers","Restricted",30.682,"Sewing machine","","No legal education or work experience","Conservative/Republican","Sewing machine",1
"R_3LpqC2VUSNpypu6",3,"phrasal","Any “clinic” including a wellness spa","Broad",39.038,"Gun","no feedback to offer","No legal education or work experience","Liberal/Democrat","Gun",1
"R_7prp2sf9tESljlM",9,"simple","Any “sign” including a happy birthday banner","Broad",19.019,"IT","","No legal education or work experience","Liberal/Democrat","IT",1
"R_5I3FmKCCUWGv5x4",7,"baseline","Any “detailed representations” including an intricate painting","Broad",28.942,"Joe","","No legal education or work experience","Lean Liberal","Joshua",0
"R_7igOxyibMmJaVTF",2,"simple","Direct, intentional “harms” that are like hunting and shooting","Restricted",14.674,"Orca","Good luck with your research!","Licensed attorney","Conservative/Republican","Orca",1
"R_5wEpAvTYU7MbdMs",9,"simple","Any “sign” including a happy birthday banner","Broad",23.98,"IT","","No legal education or work experience","Liberal/Democrat","IT",1
"R_5SJ1tv8Xfk7P9wa",10,"baseline","Any “machine” including a small sewing machine","Broad",60.449,"Sewing machine","","Some law-related coursework","Liberal/Democrat","Sewing machine",1
"R_7N3mzPDV1k0dsdV",8,"baseline","Any “tank” including a fish tank","Broad",55.075,"An aquarium","","No legal education or work experience","Liberal/Democrat","An aquarium",1
"R_7DUGW78yvFD5NW0",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",76.417,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_5GuHrUWCnwlWUmJ",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",26.298,"Orca","","No legal education or work experience","Progressive (most liberal)","Orca",1
"R_6o0VlYmYBe8Eq3N",6,"simple","Any “waste” including used gift-wrapping paper","Broad",58.946,"At the campground","","Some law-related coursework","Moderate/Centrist","At the campground",1
"R_11ilxa0fbRvKjzA",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",25.086,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_6AqSAEfe1EG5wL7",4,"baseline","Any “relinquishment” including a temporary lease","Broad",36.048,"Power plant","N/A","No legal education or work experience","Conservative/Republican","Power plant",1
"R_69cndXqkb1ZU9IB",7,"baseline","Any “detailed representations” including an intricate painting","Broad",30.275,"Joshua","","No legal education or work experience","Liberal/Democrat","Joshua",1
"R_7CIjilp6JlWox1r",6,"simple","Any “waste” including used gift-wrapping paper","Broad",29.839,"At the campground","My first thought was that the rule applied to only after one checked out of the campsite","No legal education or work experience","Lean Liberal","At the campground",1
"R_52lEeJxXmvOdZr7",7,"baseline","Any “detailed representations” including an intricate painting","Broad",44.397,"Joshua","sometimes the rules are fuzzy","No legal education or work experience","Liberal/Democrat","Joshua",1
"R_7rlHAbS3mBgTVA0",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",42.738,"Joshua","It was clear and easy to follow, question were open.","No legal education or work experience","Liberal/Democrat","Joshua",1
"R_7RjAE5HFdArVl6H",8,"phrasal","Any “tank” including a fish tank","Broad",74.118,"An aquarium","","No legal education or work experience","Liberal/Democrat","An aquarium",1
"R_5OaKEo1CIPRyaLT",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",53.401,"In her purse","n/a","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_5O222DwsFpxLlzr",5,"baseline","Any kind of “closed and fastened case” including a purse","Broad",13.468,"In her purse","","Some law-related coursework","Liberal/Democrat","In her purse",1
"R_1s0b0h5d6XscDR4",9,"simple","Any “sign” including a happy birthday banner","Broad",43.011,"IT","","No legal education or work experience","Progressive (most liberal)","IT",1
"R_5k1Ur9oHAfCeR4G",4,"simple","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",42.791,"Power plant","I enjoyed the study.","No legal education or work experience","Liberal/Democrat","Power plant",1
"R_1UR7ebpeF3XwGTn",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",80.078,"Housing subsidy","None","No legal education or work experience","Lean Conservative","Housing subsidy",1
"R_6MWmdAkglF5z7j5",10,"simple","Any “machine” including a small sewing machine","Broad",88.788,"Sewing machine","N/A ","No legal education or work experience","Progressive (most liberal)","Sewing machine",1
"R_5qjFhcY3RaY67q6",11,"phrasal","Any “electronic devices” including a small battery-power fan","Broad",118.685,"Nicholas","","No legal education or work experience","Conservative/Republican","Nicholas",1
"R_6IodyGutCm5FxkA",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",54.652,"Joshua","","Legal work experience but no law degree","Lean Liberal","Joshua",1
"R_6AKCFfJD4G6fd4h",4,"phrasal","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",58.937,"Power plant","","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_3bS2SlQ6YIHnE2d",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",76.572,"Housing subsidy","none thank you!!","No legal education or work experience","Conservative/Republican","Housing subsidy",1
"R_6Yr1A5fxe1OMOhw",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",38.481,"Bicycle","","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_5m6Fzxrzvry29mV",10,"phrasal","Any “machine” including a small sewing machine","Broad",80.772,"Sewing machine","No","No legal education or work experience","Lean Liberal","Sewing machine",1
"R_1fjkcXKfUSGIS1K",3,"phrasal","Any “clinic” including a wellness spa","Broad",26.229,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_6OK7kQlylU79jfw",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",20.242,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_1SxC1jzI8KH4EUz",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",22.518,"Bicycle","","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_7O0JYblXJaWRasC",10,"phrasal","Any “machine” including a small sewing machine","Broad",33.904,"Sewing machine","","No legal education or work experience","Conservative/Republican","Sewing machine",1
"R_1WD8fn0MyEVDUZz",10,"simple","Any “machine” including a small sewing machine","Broad",37.079,"Sewing machine","","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_3gO9OcenWjhOcGY",8,"simple","Any “tank” including a fish tank","Broad",33.411,"An aquarium","","Some law-related coursework","Progressive (most liberal)","An aquarium",1
"R_53szTWChY5rNLfX",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",36.515,"At the campground","","No legal education or work experience","Lean Conservative","At the campground",1
"R_3FJ0oLCfTdPZFgX",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",25.499,"Nicholas","","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_648iYI0hVMGKqu5",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",19.187,"Bicycle","none","No legal education or work experience","Lean Liberal","Bicycle",1
"R_6Ej8dcnaNFuBWlj",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",23.7,"Orca","","No legal education or work experience","Right-wing (most conservative)","Orca",1
"R_3Jr5YRZFR5sFPxA",9,"baseline","Any “sign” including a happy birthday banner","Broad",13.613,"Sales","","No legal education or work experience","Liberal/Democrat","IT",0
"R_3eRoAIDc9Vxishm",6,"simple","Any “waste” including used gift-wrapping paper","Broad",35.677,"At the campground","","No legal education or work experience","Moderate/Centrist","At the campground",1
"R_3IPapZonewA3Tnb",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",35.971,"Housing subsidy","na","Some law-related coursework","Moderate/Centrist","Housing subsidy",1
"R_673VqL5cWoASzlv",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",29.792,"Orca","","No legal education or work experience","Conservative/Republican","Orca",1
"R_5Hi3plelfXsmRZl",3,"phrasal","Any “clinic” including a wellness spa","Broad",18.71,"Gun","","No legal education or work experience","Lean Liberal","Gun",1
"R_14J0GDjewq7md0c",10,"baseline","Any “machine” including a small sewing machine","Broad",33.781,"Sewing machine","","No legal education or work experience","Conservative/Republican","Sewing machine",1
"R_5CTWE2bRW1QvUMN",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",45.904,"Nicholas","","No legal education or work experience","Conservative/Republican","Nicholas",1
"R_54zX0pcfYhez0Fu",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",58.497,"Housing subsidy","N/A","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_7MWDeS7BJ90qWZg",5,"phrasal","Any kind of “closed and fastened case” including a purse","Broad",18.959,"In her purse","","No legal education or work experience","Conservative/Republican","In her purse",1
"R_5niTGpqUnztGMqe",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",30.446,"Housing subsidy","","No legal education or work experience","Moderate/Centrist","Housing subsidy",1
"R_7g4Kw3kVOWVU9AR",9,"phrasal","Any “sign” including a happy birthday banner","Broad",43.032,"Sales","","No legal education or work experience","Conservative/Republican","IT",0
